200,OUTPUT4/PA4-E-Output.txt
-32.64,5.14,-37.83	-32.64,5.13,-37.82	0.009
-4.61,-7.32,-41.31	-4.56,-7.31,-41.35	0.065
-3.12,-4.63,45.32	-3.23,-4.78,45.34	0.184
-1.80,-5.32,58.23	-1.89,-5.55,58.24	0.249
2.70,-1.69,-23.99	2.70,-1.69,-24.00	0.008
1.23,-18.94,-18.76	1.19,-18.88,-18.75	0.072
28.57,21.88,-11.10	28.61,21.95,-11.10	0.077
-39.04,-8.31,-12.27	-39.08,-8.30,-12.24	0.045
22.82,7.23,48.03	22.90,7.23,48.04	0.083
-34.46,-13.07,-45.68	-34.48,-13.08,-45.71	0.035
25.76,2.09,29.84	25.90,2.02,29.87	0.165
-4.11,14.20,6.77	-4.14,14.23,6.76	0.048
19.54,-3.94,-23.71	19.56,-3.94,-23.67	0.046
-1.58,-0.83,-27.18	-1.61,-0.84,-27.16	0.040
-35.33,6.73,-24.92	-35.35,6.75,-24.91	0.024
-9.15,11.15,36.69	-9.07,11.20,36.67	0.094
24.97,22.76,10.49	24.94,22.68,10.48	0.091
-4.91,12.27,60.80	-4.90,12.27,60.80	0.015
31.13,7.97,17.17	31.15,7.97,17.18	0.026
25.96,-3.59,19.39	26.03,-3.73,19.43	0.166
25.45,-2.28,23.41	25.60,-2.44,23.49	0.238
-23.85,-13.31,-5.96	-23.86,-13.33,-5.91	0.060
-34.10,-19.79,-10.50	-34.11,-19.80,-10.48	0.024
0.56,-2.64,63.46	0.56,-2.64,63.39	0.074
15.51,9.09,-18.51	15.45,9.10,-18.54	0.066
3.54,24.12,14.00	3.54,24.12,14.00	0.004
-18.00,-1.04,-46.90	-18.01,-1.03,-46.94	0.039
-34.79,-26.67,-33.84	-34.72,-26.60,-33.80	0.103
-7.13,0.45,32.35	-7.12,0.46,32.35	0.017
17.76,22.75,23.69	17.75,22.72,23.69	0.033
14.64,-10.87,-19.82	14.64,-10.81,-19.76	0.087
-32.42,-27.96,-34.55	-32.42,-27.95,-34.55	0.008
-3.60,-9.17,20.37	-3.57,-9.08,20.36	0.095
-3.92,-10.87,-40.92	-3.88,-10.88,-40.96	0.059
37.54,10.75,-7.42	37.65,10.81,-7.44	0.129
0.15,5.29,-20.98	0.15,5.29,-20.98	0.004
35.72,7.63,-18.95	35.60,7.62,-18.91	0.126
-29.32,-9.16,-47.72	-29.32,-9.17,-47.74	0.023
-6.92,10.60,4.30	-6.95,10.64,4.28	0.060
-29.42,-30.00,-19.24	-29.41,-29.95,-19.27	0.059
-6.60,2.93,59.95	-6.51,2.94,59.93	0.091
14.31,23.77,19.35	14.35,23.93,19.38	0.162
-21.21,11.71,-32.14	-21.20,11.65,-32.13	0.054
19.87,12.58,62.06	19.87,12.58,62.06	0.001
12.21,20.54,57.95	12.21,20.52,57.94	0.029
-14.41,-12.54,-48.45	-14.43,-12.54,-48.41	0.046
9.72,24.70,16.25	9.72,24.75,16.26	0.047
11.06,22.37,30.50	11.06,22.53,30.51	0.159
7.94,-5.45,63.45	7.94,-5.45,63.42	0.031
29.41,16.39,13.84	29.53,16.48,13.93	0.181
-17.58,-30.66,-35.50	-17.58,-30.68,-35.51	0.015
28.34,21.87,6.20	28.38,21.94,6.22	0.087
21.56,-0.54,44.68	21.44,-0.47,44.66	0.148
-13.71,21.15,20.28	-13.67,21.13,20.30	0.054
-6.03,14.11,9.35	-6.12,14.19,9.29	0.137
26.34,7.56,30.59	26.21,7.55,30.55	0.142
38.88,6.71,7.01	38.88,6.71,7.02	0.012
-22.01,-2.01,-47.33	-22.00,-2.01,-47.39	0.063
-8.22,-28.22,-21.67	-8.29,-28.10,-21.70	0.144
15.07,22.97,24.73	15.08,23.10,24.74	0.132
-11.50,-21.08,-9.60	-11.49,-21.04,-9.65	0.053
16.20,-15.23,-15.56	16.21,-15.18,-15.52	0.067
14.83,5.00,63.10	14.83,5.00,63.11	0.011
27.45,7.34,-30.17	27.44,7.34,-30.16	0.009
2.27,19.91,42.79	2.27,20.14,42.88	0.250
0.28,-9.39,21.18	0.28,-9.41,21.18	0.020
-15.10,-25.00,-11.09	-15.10,-25.00,-11.10	0.007
-31.17,5.04,-39.42	-31.11,4.98,-39.35	0.104
-19.39,-18.89,-6.55	-19.39,-18.89,-6.54	0.011
1.64,17.88,60.13	1.64,17.89,60.13	0.006
-12.41,3.65,12.43	-12.29,3.66,12.42	0.117
10.36,-9.61,-21.97	10.35,-9.58,-21.93	0.049
-39.98,1.00,-21.02	-40.00,1.01,-21.01	0.024
-10.82,-20.11,-44.05	-10.82,-20.11,-44.06	0.013
-17.80,-25.84,-42.42	-17.80,-25.84,-42.43	0.010
-39.97,-11.15,-34.61	-39.96,-11.14,-34.61	0.012
27.65,-4.03,16.05	27.65,-4.03,16.05	0.001
18.20,8.99,-27.15	18.29,9.08,-27.10	0.133
13.87,-5.29,61.81	13.83,-5.23,61.76	0.086
-2.45,-6.99,-34.37	-2.44,-6.98,-34.37	0.015
16.25,27.01,-3.98	16.25,27.02,-3.99	0.010
-21.20,3.61,-43.44	-21.20,3.61,-43.44	0.001
36.41,9.61,-14.50	36.31,9.57,-14.48	0.116
-1.72,-21.02,-33.13	-1.77,-21.00,-33.10	0.066
