200,OUTPUT4/PA4-F-Output.txt
20.26,15.76,46.94	20.20,15.71,46.92	0.079
4.96,-7.40,33.24	4.94,-7.28,33.23	0.118
11.79,-6.35,60.71	11.79,-6.36,60.71	0.010
14.14,10.11,-16.08	14.15,10.11,-16.07	0.010
-3.73,10.94,62.38	-3.75,10.95,62.42	0.044
-10.32,14.48,14.52	-10.34,14.48,14.51	0.021
16.10,24.78,-18.22	16.14,24.72,-18.22	0.077
-12.88,-14.34,-47.28	-12.88,-14.34,-47.29	0.009
-22.35,-6.24,-4.93	-22.33,-6.24,-4.95	0.023
17.85,22.93,22.91	17.80,22.77,22.90	0.171
16.11,24.83,-19.77	16.16,24.76,-19.76	0.090
30.50,-8.86,-2.09	30.52,-8.89,-2.09	0.031
32.50,2.33,15.36	32.55,2.33,15.40	0.055
14.51,-14.35,0.78	14.53,-14.39,0.80	0.053
-17.08,-15.33,-5.08	-17.08,-15.33,-5.09	0.012
3.19,-10.73,13.41	3.19,-10.80,13.42	0.065
27.28,-10.80,-20.98	27.28,-10.80,-20.98	0.001
-30.03,-19.85,-45.37	-30.06,-19.89,-45.43	0.082
4.33,-13.83,-0.48	4.35,-13.74,-0.51	0.097
22.71,7.42,48.29	22.87,7.42,48.31	0.168
0.62,-7.83,-28.28	0.63,-7.83,-28.29	0.017
-28.64,-26.23,-12.14	-28.67,-26.28,-12.11	0.069
-18.27,-31.87,-32.36	-18.26,-31.96,-32.38	0.092
-11.59,7.99,-15.82	-11.59,8.01,-15.82	0.023
-20.20,-29.61,-38.49	-20.19,-29.54,-38.44	0.089
-12.24,-8.16,4.41	-12.26,-8.17,4.43	0.019
-9.47,14.81,38.34	-9.39,14.83,38.28	0.096
16.96,14.71,62.84	16.96,14.71,62.84	0.005
6.49,10.82,-11.42	6.50,10.77,-11.38	0.064
25.27,15.18,-28.11	25.28,15.19,-28.15	0.042
4.02,-13.50,-0.48	3.99,-13.65,-0.44	0.160
4.32,-13.10,2.87	4.34,-12.95,2.84	0.153
-39.58,-21.92,-20.96	-39.57,-21.92,-20.96	0.013
17.94,23.78,16.15	17.98,23.91,16.17	0.141
32.73,-6.25,-20.93	32.69,-6.22,-20.92	0.053
-6.25,9.57,56.69	-6.35,9.60,56.69	0.106
21.57,17.33,34.32	21.54,17.31,34.31	0.038
-14.54,-18.59,-6.94	-14.55,-18.58,-6.95	0.013
20.07,-6.24,18.85	20.07,-6.25,18.85	0.013
17.30,26.27,6.98	17.31,26.29,6.99	0.029
-7.01,7.27,56.98	-6.94,7.26,56.98	0.064
-4.98,13.48,50.85	-4.96,13.47,50.84	0.016
25.24,-11.12,-1.14	25.23,-11.02,-1.19	0.114
14.77,-3.46,62.66	14.71,-3.41,62.56	0.123
29.68,4.50,20.24	29.66,4.50,20.23	0.026
26.44,-13.20,-15.88	26.46,-13.24,-15.89	0.044
20.71,13.37,52.28	20.92,13.45,52.31	0.222
-25.81,10.71,-31.53	-25.81,10.70,-31.53	0.013
-24.37,-18.28,-6.39	-24.37,-18.28,-6.39	0.007
4.23,-13.62,-0.12	4.23,-13.62,-0.12	0.004
-32.77,-7.44,-8.39	-32.78,-7.44,-8.37	0.023
15.94,2.54,-21.53	15.91,2.55,-21.61	0.092
-3.58,1.02,-28.35	-3.54,1.04,-28.39	0.063
-43.69,-11.46,-23.45	-43.70,-11.46,-23.44	0.015
26.56,19.91,14.27	26.55,19.90,14.26	0.013
-6.13,0.49,53.87	-6.14,0.48,53.87	0.012
0.17,23.84,16.52	0.19,23.77,16.54	0.070
-26.26,-32.20,-28.09	-26.26,-32.19,-28.08	0.010
-3.38,24.22,20.95	-3.38,24.12,20.95	0.101
19.07,-10.23,-21.06	19.03,-10.27,-21.10	0.065
-1.27,23.25,31.69	-1.31,23.06,31.64	0.202
15.39,-13.85,1.35	15.36,-13.74,1.30	0.126
30.91,7.34,17.56	30.98,7.35,17.60	0.071
0.92,24.21,17.27	0.96,24.01,17.27	0.201
-8.02,1.69,28.78	-7.88,1.71,28.75	0.147
11.46,-14.47,1.64	11.47,-14.45,1.62	0.027
12.70,20.82,53.77	12.70,20.93,53.79	0.116
-2.58,18.62,44.79	-2.50,18.47,44.73	0.182
7.76,21.63,35.25	7.76,21.69,35.27	0.069
-15.32,-8.75,0.45	-15.35,-8.77,0.48	0.040
-22.12,-32.61,-31.17	-22.12,-32.55,-31.16	0.063
6.46,-9.57,-23.31	6.48,-9.58,-23.34	0.040
-24.17,7.88,-38.82	-24.18,7.90,-38.84	0.032
-32.55,-26.82,-16.27	-32.58,-26.86,-16.23	0.064
-6.91,6.11,60.31	-7.08,6.12,60.31	0.174
-7.81,23.58,19.15	-7.80,23.51,19.20	0.089
-23.88,-1.01,-47.20	-23.88,-1.01,-47.20	0.008
-8.53,12.83,38.35	-8.69,12.75,38.45	0.204
25.17,-6.32,12.61	25.15,-6.19,12.55	0.144
-17.33,-29.08,-15.09	-17.34,-29.06,-15.10	0.028
1.65,18.34,52.08	1.58,18.58,52.12	0.253
1.89,18.20,3.28	1.93,18.18,3.30	0.046
-9.61,5.92,27.04	-9.42,6.00,27.00	0.206
24.70,-0.40,-28.14	24.69,-0.41,-28.16	0.020
19.05,-9.16,-22.13	19.04,-9.18,-22.15	0.026
20.34,-10.93,2.23	20.33,-10.93,2.22	0.004
-20.94,-13.32,-5.02	-20.93,-13.29,-5.08	0.070
-26.81,10.95,-29.03	-26.83,11.01,-29.04	0.065
15.79,9.95,-20.43	15.79,9.95,-20.43	0.003
-19.45,-3.66,-47.81	-19.47,-3.68,-47.76	0.055
-38.66,-21.81,-18.03	-38.69,-21.84,-18.02	0.045
6.34,22.29,-0.91	6.31,22.31,-0.93	0.038
-9.14,-9.79,5.19	-9.12,-9.76,5.18	0.041
-34.48,7.51,-27.25	-34.52,7.58,-27.26	0.075
4.24,18.51,-1.19	4.26,18.49,-1.18	0.030
-2.85,4.96,-23.13	-2.87,4.90,-23.08	0.070
-1.64,-22.46,-26.99	-1.62,-22.47,-26.99	0.024
-11.93,-14.23,-47.08	-11.95,-14.22,-47.04	0.043
5.21,-5.96,-23.86	5.24,-5.95,-23.91	0.057
11.19,-7.06,23.30	11.19,-7.10,23.30	0.042
16.90,7.81,-23.65	16.77,7.80,-23.67	0.132
-24.08,7.93,-38.79	-24.08,7.95,-38.81	0.022
-0.65,-9.09,23.61	-0.65,-8.99,23.58	0.110
-10.26,-27.49,-36.35	-10.25,-27.50,-36.36	0.011
12.77,18.76,62.51	12.77,18.77,62.53	0.029
-2.90,15.09,57.61	-2.90,15.10,57.61	0.013
18.97,-3.56,40.09	18.93,-3.50,40.09	0.072
-0.28,-2.71,-27.18	-0.32,-2.72,-27.13	0.067
-41.82,-9.71,-16.92	-41.88,-9.72,-16.89	0.068
21.88,10.20,-30.69	21.89,10.22,-30.66	0.029
15.02,-6.72,20.78	15.05,-6.90,20.80	0.179
9.10,-11.96,-20.54	9.06,-11.94,-20.51	0.049
-11.47,24.17,27.60	-11.49,24.22,27.60	0.049
11.15,-16.70,-4.70	11.17,-16.61,-4.72	0.099
-0.48,16.80,58.78	-0.51,16.86,58.79	0.063
-4.03,4.16,-25.83	-4.03,4.17,-25.83	0.008
-22.99,-3.64,-6.80	-22.93,-3.68,-6.86	0.095
17.94,26.35,6.21	17.93,26.31,6.21	0.041
-32.80,-22.66,-41.35	-32.80,-22.66,-41.35	0.010
20.38,3.98,62.15	20.34,3.99,62.13	0.041
34.05,-4.94,-6.97	34.02,-4.91,-6.97	0.042
21.98,2.85,50.77	21.96,2.86,50.76	0.029
-2.21,7.92,-17.75	-2.21,7.88,-17.73	0.050
-3.69,-13.51,-0.17	-3.69,-13.50,-0.18	0.014
-38.85,3.60,-26.07	-38.83,3.58,-26.07	0.022
12.31,16.95,63.12	12.31,16.95,63.10	0.020
10.93,-12.83,-18.75	10.91,-12.76,-18.70	0.084
-8.12,1.51,-39.59	-8.08,1.55,-39.63	0.072
17.97,22.89,22.96	17.92,22.73,22.95	0.167
-17.64,1.18,-45.70	-17.63,1.12,-45.62	0.095
18.49,11.05,63.14	18.48,11.05,63.10	0.035
21.66,-8.70,-23.77	21.67,-8.66,-23.73	0.050
-0.97,14.35,0.94	-0.91,14.28,0.98	0.102
22.09,10.30,51.91	22.07,10.30,51.91	0.014
-29.72,4.40,-40.54	-29.71,4.40,-40.53	0.015
-41.25,-17.83,-29.84	-41.30,-17.84,-29.87	0.056
36.68,2.56,-15.78	36.73,2.57,-15.81	0.057
21.63,14.12,-30.31	21.64,14.12,-30.32	0.016
19.49,-11.29,-20.40	19.45,-11.33,-20.44	0.072
-43.03,-12.43,-21.05	-43.10,-12.43,-21.03	0.072
-1.09,-20.01,-33.00	-1.08,-20.02,-33.00	0.018
-27.47,-27.45,-12.63	-27.45,-27.42,-12.64	0.037
28.34,21.88,-13.26	28.41,21.98,-13.26	0.115
37.97,11.35,6.18	37.98,11.36,6.18	0.010
-2.89,-9.78,17.63	-2.87,-9.71,17.62	0.079
0.28,20.38,8.13	0.28,20.38,8.13	0.000
23.63,3.20,40.62	23.71,3.19,40.64	0.075
-38.72,0.32,-35.56	-38.75,0.34,-35.57	0.041
-3.62,13.23,62.00	-3.64,13.24,62.05	0.047
35.28,13.69,8.47	35.32,13.73,8.49	0.062
33.15,7.35,-24.33	33.12,7.35,-24.32	0.037
7.80,18.57,-7.47	7.81,18.57,-7.46	0.005
15.21,3.46,63.02	15.21,3.46,63.02	0.002
-13.55,-25.04,-11.25	-13.58,-25.00,-11.31	0.073
-14.75,12.15,22.29	-14.68,12.20,22.30	0.084
-21.51,11.87,-30.72	-21.51,11.91,-30.73	0.038
-18.99,-32.58,-28.84	-18.99,-32.61,-28.84	0.022
18.84,19.69,39.33	18.75,19.63,39.32	0.104
11.33,-6.56,28.07	11.33,-6.63,28.07	0.063
-26.69,-25.75,-10.52	-26.69,-25.73,-10.54	0.027
19.49,-8.62,-22.83	19.49,-8.63,-22.84	0.007
-14.56,-25.94,-41.50	-14.56,-25.93,-41.49	0.011
-15.59,-31.72,-23.30	-15.59,-31.71,-23.30	0.004
28.87,6.50,21.80	29.04,6.52,21.86	0.175
2.07,21.94,8.50	2.02,22.03,8.45	0.117
-27.54,-21.15,-45.69	-27.53,-21.14,-45.68	0.012
0.78,-6.60,42.45	0.71,-6.77,42.46	0.184
20.41,14.72,48.26	20.58,14.83,48.27	0.204
-10.07,9.42,-23.44	-10.18,9.26,-23.40	0.194
22.32,21.68,18.94	22.28,21.61,18.93	0.078
12.70,25.16,14.10	12.70,25.20,14.11	0.037
-6.62,4.19,-30.52	-6.56,4.22,-30.55	0.073
39.70,3.74,1.90	39.68,3.74,1.90	0.017
1.39,-6.94,54.23	1.39,-6.94,54.23	0.002
15.36,-14.55,0.20	15.30,-14.42,0.12	0.158
-17.54,-7.90,-1.29	-17.55,-7.91,-1.29	0.011
33.71,-6.81,-12.75	33.70,-6.80,-12.75	0.015
-7.48,-25.40,-36.33	-7.42,-25.47,-36.38	0.099
14.37,21.95,36.33	14.37,21.94,36.33	0.007
21.55,-9.84,3.53	21.55,-9.83,3.53	0.007
22.34,-15.04,-16.57	22.34,-15.02,-16.56	0.023
26.03,-4.05,18.02	26.08,-4.13,18.05	0.099
0.29,9.75,-10.76	0.28,9.84,-10.78	0.092
13.96,0.95,63.00	13.96,0.95,63.01	0.006
14.38,-5.88,39.44	14.36,-5.82,39.44	0.064
29.04,6.75,22.07	28.94,6.74,22.03	0.111
-27.53,-0.15,-45.28	-27.51,-0.18,-45.24	0.052
0.53,-3.20,-26.54	0.54,-3.20,-26.56	0.015
27.32,10.80,24.71	27.25,10.78,24.69	0.068
-37.29,-17.80,-12.27	-37.29,-17.80,-12.27	0.001
-33.55,-26.02,-16.35	-33.58,-26.06,-16.32	0.061
-1.71,13.29,0.18	-1.67,13.22,0.21	0.085
-10.09,-29.63,-28.60	-10.09,-29.64,-28.60	0.011
6.23,9.81,-12.68	6.22,9.90,-12.73	0.099
11.18,22.91,29.06	11.18,22.78,29.04	0.136
29.92,-1.98,16.65	29.93,-1.99,16.65	0.016
-8.16,-16.45,-5.33	-8.16,-16.43,-5.34	0.020
29.21,-7.81,-23.24	29.25,-7.89,-23.29	0.103
-36.30,-9.15,-8.54	-36.29,-9.15,-8.56	0.024
1.48,-19.05,-16.18	1.45,-19.00,-16.20	0.063
