200,OUTPUT4/PA4-J-Output.txt
-8.48,6.63,30.78	-8.48,6.63,30.78	0.010
18.34,25.33,-21.47	18.33,25.43,-21.49	0.100
8.12,-8.42,17.99	8.14,-8.50,18.02	0.082
11.49,22.85,28.71	11.49,22.84,28.70	0.004
-6.05,0.85,51.79	-6.23,0.78,51.78	0.198
12.01,24.88,15.11	12.01,24.90,15.11	0.023
-36.09,-24.14,-16.98	-36.09,-24.15,-16.98	0.006
-28.77,-19.92,-7.27	-28.77,-19.92,-7.29	0.020
-7.83,-12.99,-0.08	-7.83,-13.01,-0.06	0.027
-20.36,9.04,-18.07	-20.35,9.07,-18.04	0.042
20.23,25.88,-8.42	20.25,25.92,-8.43	0.037
-21.50,3.29,-43.74	-21.50,3.31,-43.77	0.031
37.01,-2.26,7.05	36.99,-2.24,7.05	0.027
-18.66,-19.87,-46.84	-18.65,-19.91,-46.94	0.108
0.65,18.77,49.19	0.65,18.78,49.20	0.012
-42.17,-8.09,-31.19	-42.18,-8.10,-31.20	0.016
20.04,11.24,62.29	20.21,11.29,62.35	0.192
29.25,5.72,21.13	29.36,5.70,21.18	0.124
5.73,-16.76,-13.07	5.69,-16.67,-13.06	0.094
9.04,-6.49,42.15	9.05,-6.60,42.15	0.106
21.31,4.60,-28.61	21.31,4.61,-28.60	0.007
12.02,26.24,-3.74	12.03,26.21,-3.74	0.034
-16.10,15.67,30.26	-16.01,15.68,30.24	0.089
0.17,20.33,8.31	0.14,20.36,8.29	0.038
5.94,23.64,3.85	5.90,23.68,3.84	0.064
6.52,20.49,47.84	6.53,20.39,47.85	0.102
-5.12,8.62,62.54	-5.11,8.61,62.50	0.038
-19.14,-11.61,-3.64	-19.13,-11.59,-3.68	0.041
9.34,20.83,45.71	9.32,20.91,45.72	0.079
23.44,9.74,44.21	23.34,9.73,44.20	0.097
-13.79,-2.96,-46.83	-13.78,-2.96,-46.85	0.021
-39.91,-15.87,-34.43	-39.87,-15.87,-34.43	0.039
18.80,25.49,-20.03	18.80,25.47,-20.03	0.021
