200,OUTPUT4/PA4-K-Output.txt
38.35,-0.57,5.64	38.34,-0.57,5.64	0.011
3.37,-16.76,-7.90	3.35,-16.64,-7.96	0.138
-18.64,10.43,-35.78	-18.65,10.49,-35.83	0.071
11.25,24.26,-7.21	11.19,24.33,-7.25	0.100
32.39,16.27,10.18	32.40,16.27,10.18	0.013
-20.18,-13.94,-48.98	-20.18,-13.93,-48.97	0.010
25.36,1.06,31.35	25.15,1.16,31.30	0.234
-33.09,-27.53,-18.43	-33.13,-27.59,-18.41	0.076
1.01,6.63,-19.04	0.95,6.52,-18.94	0.166
37.67,0.91,8.86	37.70,0.91,8.88	0.041
29.18,13.12,17.78	29.22,13.13,17.80	0.046
30.23,17.34,12.02	30.17,17.29,11.99	0.091
7.46,20.57,-5.60	7.38,20.61,-5.65	0.105
22.30,4.98,50.56	22.34,4.97,50.57	0.046
-32.51,5.42,-37.77	-32.45,5.32,-37.72	0.130
4.40,-12.30,-23.90	4.39,-12.30,-23.89	0.019
6.66,-6.82,34.46	6.68,-6.93,34.46	0.112
-35.94,2.92,-15.51	-35.91,2.90,-15.54	0.044
33.86,-5.48,0.07	33.72,-5.37,0.09	0.177
21.13,16.99,37.25	21.12,16.98,37.25	0.006
-3.06,-19.04,-37.72	-3.13,-18.99,-37.68	0.090
-32.18,-14.82,-45.98	-32.17,-14.78,-45.87	0.114
-37.54,-17.23,-40.68	-37.51,-17.21,-40.65	0.047
30.04,21.00,-1.36	30.01,20.96,-1.36	0.043
21.16,22.29,-25.93	21.17,22.31,-25.94	0.019
12.54,-16.92,-8.88	12.57,-16.84,-8.86	0.090
5.80,-12.98,-22.16	5.75,-12.96,-22.10	0.080
-1.13,12.02,-3.47	-1.15,12.04,-3.48	0.032
0.20,-13.11,-30.46	0.24,-13.11,-30.46	0.041
-7.05,4.14,57.11	-6.94,4.16,57.12	0.111
17.09,-4.79,41.98	17.09,-4.80,41.98	0.003
32.32,18.38,-12.39	32.36,18.41,-12.39	0.053
12.12,26.86,4.48	12.08,26.99,4.50	0.139
29.21,-0.76,18.75	29.17,-0.74,18.72	0.055
3.39,24.01,20.99	3.39,23.96,20.99	0.051
-3.43,14.47,60.46	-3.38,14.41,60.45	0.079
6.34,22.73,29.86	6.34,22.62,29.84	0.106
25.96,24.03,-0.73	25.91,23.95,-0.74	0.091
-1.73,-7.86,-32.50	-1.85,-7.88,-32.44	0.141
-16.92,-28.32,-14.13	-16.92,-28.29,-14.15	0.030
-6.77,-3.68,28.56	-6.85,-3.73,28.58	0.096
-5.62,-16.01,-4.42	-5.62,-15.98,-4.43	0.029
23.70,8.47,42.30	23.74,8.47,42.31	0.035
0.59,18.10,4.99	0.59,18.09,5.00	0.009
21.95,7.33,55.34	21.90,7.33,55.33	0.046
-6.85,5.90,42.00	-6.98,5.90,42.01	0.134
18.96,25.43,-20.64	18.95,25.50,-20.64	0.070
-28.26,-25.51,-10.91	-28.20,-25.46,-10.98	0.106
18.84,-6.74,16.50	18.86,-6.84,16.52	0.098
17.76,8.64,63.14	17.76,8.64,63.11	0.030
10.11,6.58,62.81	10.11,6.57,62.88	0.075
13.57,25.38,12.93	13.57,25.41,12.94	0.027
13.03,26.58,8.09	13.03,26.63,8.10	0.047
19.64,18.91,37.16	19.74,18.98,37.19	0.125
-34.86,-12.75,-45.55	-34.86,-12.76,-45.56	0.016
9.33,13.82,-9.86	9.30,13.83,-9.90	0.049
25.42,21.53,13.20	25.37,21.46,13.18	0.093
-9.44,9.07,6.60	-9.41,9.04,6.61	0.042
35.90,0.28,10.83	35.99,0.27,10.91	0.123
-6.71,5.36,-27.31	-6.60,5.50,-27.33	0.188
3.23,-7.34,62.92	3.26,-7.13,62.85	0.219
